Simulation_ID,Directory,File,Chain,Type,State,Role,Partner,CoFactor_Name,CoFactor_aC_Dist,CoFactor_ActLoop_Dist,Interface_C_Lobe_Donor_Dist,Interface_N_Lobe_Rec_Dist,R_Spine,C_Spine,C_Helix,Shell_State,Spatial,Dihedral,ActLoop_NT,ActLoop_CT,Phi_D,Psi_D,Cleft_Gape_Dist,Mg_Hijack_Dist,Substrate_Clearance_Angle,D1_Dist,D2_Dist,SB_Dist,HRD_ATP_Dist,DFG_Mg_Dist,DFG_ATP_Dist,PLoop_ATP_Dist,aCb4_aE_Dist,Spine_Bridge_Dist,V104_RS2_Dist,I150_HRD_Dist,Shell_M118_M120_Dist,Y156_N99_Dist,K105_E107_Dist,K105_E121_Dist,K105_N99_Dist,D220_HRD_Dist,ipTM,pTM
csk-wtcat_apo_seed-108409_sample-0_model,csk-wtcat_apo/seed-108409_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.23,75.82,14.4,,,6.36,13.71,2.72,,,,,3.43,8.13,7.38,9.83,3.64,8.05,5.01,3.37,3.58,3.52,N/A,0.93
csk-wtcat_apo_seed-108409_sample-1_model,csk-wtcat_apo/seed-108409_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.2,75.24,14.27,,,6.42,13.62,2.71,,,,,3.48,8.08,7.31,9.78,3.77,8.03,4.58,3.24,4.39,3.54,N/A,0.94
csk-wtcat_apo_seed-108409_sample-2_model,csk-wtcat_apo/seed-108409_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.56,74.34,14.48,,,6.4,13.74,2.72,,,,,3.47,8.09,7.33,9.83,3.77,8.09,4.56,3.22,3.82,3.55,N/A,0.94
csk-wtcat_apo_seed-108409_sample-3_model,csk-wtcat_apo/seed-108409_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.64,77.85,13.99,,,6.39,13.4,2.75,,,,,3.48,8.12,7.38,9.76,3.75,8.04,5.04,3.34,3.62,3.52,N/A,0.93
csk-wtcat_apo_seed-108409_sample-4_model,csk-wtcat_apo/seed-108409_sample-4,model.cif,A,CSK-WT,Inactive (BLBminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLBminus,NTout,CTin,53.9,66.77,15.03,,,5.93,14.41,4.2,,,,,3.5,8.03,7.3,10.01,4.17,9.72,4.56,3.31,3.4,3.51,N/A,0.92
csk-wtcat_apo_seed-111556_sample-0_model,csk-wtcat_apo/seed-111556_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.43,74.55,14.12,,,6.43,13.62,2.72,,,,,3.38,8.08,7.35,9.84,3.74,8.08,4.94,3.29,3.55,3.53,N/A,0.93
csk-wtcat_apo_seed-111556_sample-1_model,csk-wtcat_apo/seed-111556_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.59,74.25,13.89,,,6.44,13.54,2.74,,,,,3.41,8.09,7.33,9.84,3.74,8.13,4.62,3.25,3.64,3.53,N/A,0.93
csk-wtcat_apo_seed-111556_sample-2_model,csk-wtcat_apo/seed-111556_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.39,76.94,14.12,,,6.37,13.59,2.76,,,,,3.41,8.13,7.35,9.79,3.68,8.12,5.03,3.32,3.58,3.51,N/A,0.93
csk-wtcat_apo_seed-111556_sample-3_model,csk-wtcat_apo/seed-111556_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.14,74.84,14.41,,,6.36,13.68,2.73,,,,,3.42,8.09,7.36,9.8,3.7,8.11,4.98,3.3,3.77,3.51,N/A,0.94
csk-wtcat_apo_seed-111556_sample-4_model,csk-wtcat_apo/seed-111556_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.46,74.31,14.66,,,6.33,13.8,2.79,,,,,3.43,8.09,7.33,9.81,3.95,8.1,4.96,3.33,3.66,3.53,N/A,0.93
csk-wtcat_apo_seed-1185465_sample-0_model,csk-wtcat_apo/seed-1185465_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,63.16,71.09,14.82,,,6.41,13.89,2.76,,,,,3.43,8.05,7.28,9.85,3.67,8.14,4.48,3.22,3.54,3.53,N/A,0.93
csk-wtcat_apo_seed-1185465_sample-1_model,csk-wtcat_apo/seed-1185465_sample-1,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.44,75.22,14.3,,,6.42,13.58,2.77,,,,,3.51,8.14,7.36,9.79,3.66,8.02,5.06,3.39,4.09,3.52,N/A,0.93
csk-wtcat_apo_seed-1185465_sample-2_model,csk-wtcat_apo/seed-1185465_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.93,74.37,14.15,,,6.36,13.57,2.75,,,,,3.53,8.04,7.32,9.81,3.73,8.07,4.53,3.24,3.59,3.52,N/A,0.94
csk-wtcat_apo_seed-1185465_sample-3_model,csk-wtcat_apo/seed-1185465_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.35,74.3,15.29,,,6.38,13.93,2.78,,,,,3.52,8.06,7.32,9.82,4.12,8.18,4.6,3.27,3.49,3.52,N/A,0.93
csk-wtcat_apo_seed-1185465_sample-4_model,csk-wtcat_apo/seed-1185465_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.44,73.49,14.06,,,6.4,13.78,2.8,,,,,3.49,8.03,7.27,9.85,3.97,8.17,4.51,3.26,3.89,3.51,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-0_model,csk-wtcat_apo/seed-1196810_sample-0,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,62.04,73.39,14.14,,,6.46,13.48,2.7,,,,,3.48,8.03,7.35,9.77,3.77,8.07,4.6,3.22,4.14,3.5,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-1_model,csk-wtcat_apo/seed-1196810_sample-1,model.cif,A,CSK-WT,Inactive (BLBminus),Unpaired,,,,,,,Intact,No Ligand,Out,Packed,DFGin,BLBminus,NTin,CTin,52.11,61.87,13.53,,,6.72,13.99,5.59,,,,,3.52,8.04,7.22,9.98,4.3,8.31,4.39,3.28,3.6,3.47,N/A,0.92
csk-wtcat_apo_seed-1196810_sample-2_model,csk-wtcat_apo/seed-1196810_sample-2,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.63,73.4,15.06,,,6.35,13.99,2.8,,,,,3.5,8.11,7.34,9.8,4.11,8.08,4.96,3.36,3.73,3.54,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-3_model,csk-wtcat_apo/seed-1196810_sample-3,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,60.56,73.27,13.9,,,6.41,13.62,2.79,,,,,3.52,8.09,7.31,9.82,3.71,8.1,4.56,3.24,3.53,3.52,N/A,0.93
csk-wtcat_apo_seed-1196810_sample-4_model,csk-wtcat_apo/seed-1196810_sample-4,model.cif,A,CSK-WT,Active (BLAminus),Unpaired,,,,,,,Intact,No Ligand,In,Packed,DFGin,BLAminus,NTin,CTin,61.0,74.71,14.74,,,6.39,14.01,2.8,,,,,3.49,8.01,7.28,9.78,4.12,8.05,4.48,3.24,3.65,3.52,N/A,0.93
